timestamp_utc,category,name,method,source,install_path,size_mb,notes
2026-09-20T17:13:07Z,system,base-build-tools,apt,ubuntu-22.04-jammy-repos,/usr (dpkg-managed),239,"build-essential cmake git wget curl pkg-config unzip python3.10-venv python3-pip libeigen3-dev + auto deps; apt remove <pkg> to delete; see /var/log/apt/history.log for exact list"
2026-09-20T17:16:32Z,toolchain,colmap,apt,ubuntu-22.04-universe-repos (v3.7-2),/usr (dpkg-managed),82,"CPU-only build (no CUDA) - confirmed via 'colmap -h'; fine for sparse SfM, not for dense MVS; apt remove colmap + deps to delete"
2026-09-20T17:18:00Z,toolchain,ORB_SLAM3,git-clone --depth 1,https://github.com/UZ-SLAMLab/ORB_SLAM3.git,~/roomrecon/toolchain/ORB_SLAM3,280,"pruned Examples_old + Stereo-Inertial/Monocular-Inertial/RGB-D/RGB-D-Inertial/Stereo examples (~1.34GB, all IMU/depth/stereo - out of scope per ADR-002 monocular RGB only); kept Monocular/ + Calibration/; delete whole dir to remove"
2026-09-20T17:20:00Z,toolchain,Pangolin,git-clone --depth 1 --recursive,https://github.com/stevenlovegrove/Pangolin.git,~/roomrecon/toolchain/Pangolin,23,"dropped scripts/vcpkg submodule (~197MB) - not needed, Linux build uses apt system libs (libgl1-mesa-dev libglew-dev etc); delete whole dir to remove"
2026-09-20T17:23:00Z,system,opencv-opengl-ffmpeg-boost-deps,apt,ubuntu-22.04-jammy-repos,/usr (dpkg-managed),1005,"357 pkgs: libopencv-dev 4.5.4 libgl1-mesa-dev libglew-dev libepoxy-dev ffmpeg libav*-dev libboost-all-dev libssl-dev python3-dev; deps for Pangolin + ORB-SLAM3 build; libboost-all-dev is oversized (ORB-SLAM3 needs only boost-serialization) - slimming candidate if space gets tight"
2026-09-20T17:26:00Z,python,torch 2.5.1+cu121 (+ nvidia cu12 runtime libs),pip,https://download.pytorch.org/whl/cu121,~/roomrecon/venv,4900,"largest single item; bundles cudnn/cublas/cusparse/nccl/triton so no system CUDA runtime needed; torch.cuda.is_available()=True verified on RTX 3050; pip cache purged after (reclaimed 1.7GB); delete venv dir to remove"
2026-09-20T17:31:00Z,python,numpy 2.2.6 + ninja 1.13.2,pip,pypi.org,~/roomrecon/venv,40,"ninja is required by torch.utils.cpp_extension to build CUDA extensions (gsplat etc)"
2026-09-20T17:33:00Z,system,cuda-nvcc-12-1 + cuda-cudart-dev-12-1,apt,https://developer.download.nvidia.com/compute/cuda/repos/wsl-ubuntu/x86_64,/usr/local/cuda-12.1,187,"minimal nvcc only - NOT the full 4-5GB CUDA toolkit; version 12.1.105 exactly matches torch cu121 build; wsl-ubuntu repo excludes display driver (correct - Windows driver is used); pip nvidia-cuda-nvcc-cu12 was tried first and REMOVED (ships ptxas/libnvvm but no nvcc binary, unusable for building extensions); apt remove cuda-nvcc-12-1 cuda-cudart-dev-12-1 to delete"
2026-09-20T17:33:30Z,evidence,cuda-extension-smoketest,n/a (generated),scripts/_wsl_cuda_smoketest.sh,~/roomrecon/logs/cuda_smoketest,1,"PASS: nvcc compiled a torch CUDA extension in 98.9s and it executed correctly on GPU; measured 0.98GB of 6.00GB VRAM already consumed at idle by Windows -> ~5GB actually usable (T1)"
2026-09-20T17:45:00Z,toolchain,Pangolin 0.9.6 (built+installed),cmake/make install,built from ~/roomrecon/toolchain/Pangolin,/usr/local/lib + /usr/local/include/pangolin,44,"source dir 23MB + build artifacts = 44MB total; installs into /usr/local (libpango_*.so); v0.9.6 requires C++17 which forces the ORB-SLAM3 patch; 'make uninstall' from build dir or delete /usr/local/lib/libpango* + /usr/local/include/pangolin"
